7zip 25.01-1
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpica 20250404-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.9-1
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
amd-ucode 20251021-1
aom 3.13.1-1
appstream 1.1.1-1
appstream-glib 0.8.3-2
appstream-qt 1.1.1-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.9.5-4
archlinux-keyring 20251027-3
archlinux-xdg-menu 0.7.6.6-2
argon2 20190702-6
at-spi2-core 2.58.1-1
atkmm 2.28.4-1
attica 6.19.0-1
attr 2.5.2-1
audit 4.1.2-1
augeas 1.14.1-4
aurorae 6.5.1-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
babl 0.1.116-1
baloo 6.19.0-1
baloo-widgets 25.08.2-1
baobab 49.0-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bibata-cursor-theme-bin 2.0.7-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.84-1
bluez-libs 5.84-1
bluez-utils 5.84-1
boost-libs 1.89.0-2
boost183-libs 1.83.0-2
botan2 2.19.5-2
breeze 6.5.1-1
breeze-icons 6.19.0-1
breezy 3.3.15-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btrfs-progs 6.17-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
calc 2.15.1.1-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cb-debug 0.1.0-4
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
chaotic-keyring 20251028-1
chaotic-mirrorlist 20251025-1
check 0.15.2-3
chromaprint 1.6.0-2
chrpath 0.17-1
cifs-utils 7.4-1
clang 21.1.4-2
clucene 2.3.3.4-16
cmake 4.1.2-1
cmatrix 2.0-4
cmocka 1.1.7-2
colord 1.4.8-1
compiler-rt 21.1.4-2
composefs 1.0.8-1
convertlit 1.8-13
coreutils 9.8-2
cowsay 3.8.4-1
cpio 2.15-3
cppdap 1.58.0-2
cryptsetup 2.8.1-1
curl 8.16.0-1
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
debootstrap 1.0.141-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.36-1
dhcpcd 10.2.4-2
dialog 1:1.3_20250116-1
diffutils 3.12-2
discord 1:0.0.113-1
distro-info 1.11-1
distro-info-data 0.63-1
dolphin 25.08.2-1
dosfstools 4.2-5
dotnet-host 9.0.9.sdk110-1
dotnet-runtime-8.0 8.0.20.sdk120-1
double-conversion 3.3.1-1
dtc 1.7.2-4
duktape 2.7.0-7
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.10-1
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.20-1
eglexternalplatform 1.2.1-1
electron 1:38-1
electron36 36.9.3-1
electron37 37.5.1-1
electron38 38.5.0-1
elementary-icon-theme 8.1.0-1
elfutils 0.194-1
ell 0.80-1
enchant 2.8.12-1
exempi 2.6.6-2
exfatprogs 1.3.0-1
exiv2 0.28.7-1
exo 4.20.0-2
expat 2.7.3-1
extra-cmake-modules 6.19.0-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.54.0-1
feh 3.11.2-2
ffmpeg 2:8.0-3
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 144.0.2-1
firewalld 2.3.1-1
flac 1.5.0-1
flatpak 1:1.16.1-1
flatpak-builder 1.4.7-1
flex 2.6.4-5
fluidsynth 2.5.0-3
fmt 12.1.0-1
fontconfig 2:2.17.1-1
frameworkintegration 6.19.0-1
freeglut 3.6.0-2
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
garcon 4.20.0-2
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gcc14 14.3.1+r25+g42e99e057bd7-1
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gdm 49.1-2
gegl 0.4.64-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.26-1
gexiv2 0.16.0-1
ghc-filesystem 1.5.14-2
ghostty 1.2.3-2
ghostty-shell-integration 1.2.3-2
ghostty-terminfo 1.2.3-2
giflib 5.2.2-2
gifsicle 1.95-1
gimp 3.0.6-2
girara 0.4.5-1
git 2.51.2-2
gjs 2:1.86.0-1
glib-networking 1:2.80.1-1
glib2 2.86.1-1
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.2-1
glslang 1:1.4.328.1-1
glu 9.0.3-2
glycin 2.0.4-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-clocks 49.0-1
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-keyring 1:48.0-1
gnome-session 49.1-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.1-1
gnome-system-monitor 49.1-1
gnome-terminal-transparency 3.58.0-1
gnome-terminal-transparency-debug 3.56.2-1
gnome-themes-extra 3.28+r6+g45b1d457-4
gnome-tweaks 49.0-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.10-1
go 2:1.25.3-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
google-chrome 142.0.7444.59-1
gparted 1.7.0-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
gptfdisk 1.0.10-1
granite7 7.6.0-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.14rc1-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.1-1
gssdp 1.6.4-1
gst-libav 1.26.7-1
